"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U4";"SO3016_SPA-M";1;"S25FL512SAGMFIR13_512MBIT";;;
2;"R20,R24,R15,R25,R26,R14,R27,R16,R22,R28,R17,R21,R37,R29,R19,R23,R30";"RES_10K_R0805";17;"10K";;;
3;"J2";"Teensy4.1_Colby(Footprint)";1;"T4.1";;;
4;"R33,R36,R39,R40,R34,R32,R35,R31,R43";"RES_2.2K_0805";9;"2.2K";;;
5;"U5";"AP7313-18SAG-7";1;"AP7313-18SAG-7";;;
6;"C7,C8";"C_100nF_0805";2;"100 nF";;;
7;"TP2";"TestPoint_PAD.03X.05";1;"VPCC(TP)";;;
8;"D2";"CHIPLED_0805_NOOUTLINE";1;"ORANGE";;;
9;"JP1,JP2,JP3";"SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm";3;"JUMPER-SMT_2_NC_TRACE_SILK";;;
10;"L2";"IND_2012_TDK-L";1;"600 OHM, MPZ2012S601AT000";;;
11;"C11,C18,C10,C2,C19";"C_0.1uF_0805_10MGAP";5;"0.1 uF";;;
12;"C17,C12,C9,C4,C20";"C_2.2uF_0805-NO";5;"2.2 uF";;;
13;"D3,D6";"CHIPLED_0805_NOOUTLINE";2;"GREEN";;;
14;"SPKR1";"AdafruitStemmaSpeaker_3923";1;"~";;;
15;"EN_1";"XDCR_PEC11R-4215F-S0024";1;"PEC11R-4215F-S0024";;;
16;"SW_4,SW_8,SW_5,SW_7,SW_9,SW_3,SW_2,SW_6,SW_1";"PushButton_KMR211_G_LFS_CNK";9;"KMR211GLFS";;;
17;"C16,C1,C6,C3";"C_10uF_0805-NO";4;"10 uF";;;
18;"U3";"W25Q128JVSIQ";1;"W25Q128JVSIQ";;;
19;"T1";"MMUN2133LT1G_SC59-BEC";1;"MMUN2133LT1G";;;
20;"J4,J5";"1X01_BatteryTerminal_HandSolder";2;"~";;;
21;"U6";"QFN50P500X500X90-33N";1;"SGTL5000XNBA3R2";;;
22;"D4,D8,D10";"CHIPLED_0805_NOOUTLINE";3;"BLUE";;;
23;"J14";"53398-0271";1;"CONN HEADER SMD R/A 2POS 1.25MM";;;
24;"R13";"RES_100K_0805";1;"50K";;;
25;"D9,D7";"CHIPLED_0805_NOOUTLINE";2;"YELLOW";;;
26;"U7";"MSOP8_0.65MM";1;"PAM8302AASCR";;;
27;"TP7";"TestPoint_PAD.03X.05";1;"+3V3";;;
28;"TP6";"TestPoint_PAD.03X.05";1;"SIG(TP)";;;
29;"R41,R38,R42";"RES_100R_R0805";3;"100R";;;
30;"TP5";"TestPoint_PAD.03X.05";1;"GND(TP)";;;
31;"D5,D1";"CHIPLED_0805_NOOUTLINE";2;"RED";;;
32;"J15";"CUI_SJ-3541AS-SMT-TR-67";1;"SJ-3541AS-SMT-TR-67";;;
33;"R1,R4";"RES_1.87M_0805";2;"1.87M";;;
34;"C5";"C_100uF_MLCC_C1210";1;"100 uF";;;
35;"J11,J6,J3,J7";"CUI_SJ-3542AS-SMT-TR-67";4;"SJ-3542AS-SMT-TR-67";;;
36;"C13";"C_0.15uF_0805";1;"0.15 uF";;;
37;"MIC1";"1X02_TH_";1;"POM-5046P-C3310-R";;;
38;"R2";"RES_340K_0805";1;"340K";;;
39;"R11";"RES_100K_0805";1;"100K";;;
40;"R8,R7,R9,R6";"RES_1K_0805";4;"1K";;;
41;"R12";"RES_1K_0805";1;"3.3K";;;
42;"U1";"TPS61090RSAR_PVQFN-16";1;"TPS61090RSAR";;;
43;"C15,C14";"C_1uF_0805";2;"1 uF";;;
44;"R18";"Thermo_15K_0805-NO";1;"15K";;;
45;"VR1";"TRIMPOT_BOURNS_TC42_2mm_SMD";1;"10K_TC42_Trimpot";;;
46;"L1";"VLS5045EX330M";1;"6.8uH, VLS5045EX-6R8M-H";;;
47;"R3,R5";"RES_200K_0805";2;"200K";;;
48;"U2";"MCP73871_QFN20_4MM";1;"MCP73871";;;
49;"R10";"RES_270K_0805";1;"270K";;;
50;"SW1";"JS202011JAQN";1;"JS202011JAQN Slide Switch DPDT Surface Mount, Right Angle";;;
51;"TP4";"TestPoint_PAD.03X.05";1;"+3v3(TP)";;;
