Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10 uF","C_10uF_0805-NO",48.895000,8.382000,180.000000,bottom
"C2","0.1 uF","C_0.1uF_0805_10MGAP",44.577000,8.636000,0.000000,bottom
"C3","10 uF","C_10uF_0805-NO",35.433000,20.066000,0.000000,bottom
"C4","2.2 uF","C_2.2uF_0805-NO",59.563000,12.573000,90.000000,bottom
"C5","100 uF","C_100uF_MLCC_C1210",57.404000,22.164000,90.000000,bottom
"C6","10 uF","C_10uF_0805-NO",37.495000,5.207000,180.000000,bottom
"C13","0.15 uF","C_0.15uF_0805",36.265212,40.142993,180.000000,bottom
"C14","1 uF","C_1uF_0805",56.037000,47.244000,180.000000,bottom
"C15","1 uF","C_1uF_0805",52.213000,51.943000,0.000000,bottom
"C16","10 uF","C_10uF_0805-NO",58.520000,53.330000,90.000000,bottom
"C19","0.1 uF","C_0.1uF_0805_10MGAP",43.561000,47.498000,90.000000,bottom
"C20","2.2 uF","C_2.2uF_0805-NO",46.228000,46.990000,180.000000,bottom
"D1","RED","CHIPLED_0805_NOOUTLINE",45.654000,1.143000,-90.000000,bottom
"D4","BLUE","CHIPLED_0805_NOOUTLINE",59.817000,2.760000,0.000000,bottom
"D5","RED","CHIPLED_0805_NOOUTLINE",15.333546,2.172159,0.000000,bottom
"D6","GREEN","CHIPLED_0805_NOOUTLINE",19.067346,2.172159,0.000000,bottom
"D7","YELLOW","CHIPLED_0805_NOOUTLINE",22.801311,2.172175,0.000000,bottom
"D8","BLUE","CHIPLED_0805_NOOUTLINE",26.535146,2.172159,0.000000,bottom
"D9","YELLOW","CHIPLED_0805_NOOUTLINE",30.269546,2.172159,0.000000,bottom
"D10","BLUE","CHIPLED_0805_NOOUTLINE",34.003546,2.172159,0.000000,bottom
"EN_1","PEC11R-4215F-S0024","XDCR_PEC11R-4215F-S0024",24.170000,13.596000,0.000000,bottom
"J3","SJ-3542AS-SMT-TR-67","CUI_SJ-3542AS-SMT-TR-67",-0.101500,61.038250,0.000000,bottom
"J4","~","1X01_BatteryTerminal_HandSolder",41.275000,2.032000,90.000000,bottom
"J5","~","1X01_BatteryTerminal_HandSolder",37.922200,2.032000,90.000000,bottom
"J6","SJ-3542AS-SMT-TR-67","CUI_SJ-3542AS-SMT-TR-67",-0.087000,50.224000,0.000000,bottom
"J7","SJ-3542AS-SMT-TR-67","CUI_SJ-3542AS-SMT-TR-67",-0.087000,7.825250,0.000000,bottom
"J11","SJ-3542AS-SMT-TR-67","CUI_SJ-3542AS-SMT-TR-67",-0.087000,18.728000,0.000000,bottom
"J14","CONN HEADER SMD R/A 2POS 1.25MM","53398-0271",53.975000,60.071000,-90.000000,bottom
"J15","SJ-3541AS-SMT-TR-67","CUI_SJ-3541AS-SMT-TR-67",61.087000,34.417000,180.000000,bottom
"L1","6.8uH, VLS5045EX-6R8M-H","VLS5045EX330M",55.408000,10.160000,0.000000,bottom
"MIC1","POM-5046P-C3310-R","1X02_TH_",44.780200,54.279800,0.000000,bottom
"R1","1.87M","RES_1.87M_0805",49.746000,10.344000,0.000000,bottom
"R2","340K","RES_340K_0805",49.723000,12.376000,180.000000,bottom
"R3","200K","RES_200K_0805",45.720000,4.953000,0.000000,bottom
"R4","1.87M","RES_1.87M_0805",54.864000,21.529000,-90.000000,bottom
"R5","200K","RES_200K_0805",52.832000,21.529000,90.000000,bottom
"R6","1K","RES_1K_0805",45.654000,2.794000,0.000000,bottom
"R7","1K","RES_1K_0805",48.133000,18.923000,180.000000,bottom
"R8","1K","RES_1K_0805",59.944000,6.797000,-90.000000,bottom
"R9","1K","RES_1K_0805",45.974000,21.082000,180.000000,bottom
"R10","270K","RES_270K_0805",39.436000,11.684000,180.000000,bottom
"R11","100K","RES_100K_0805",39.436000,9.652000,0.000000,bottom
"R12","3.3K","RES_1K_0805",44.003000,15.113000,0.000000,bottom
"R13","50K","RES_100K_0805",44.003000,17.145000,0.000000,bottom
"R18","15K","Thermo_15K_0805-NO",39.370000,20.066000,0.000000,bottom
"R30","10K","RES_10K_R0805",22.479000,38.735000,180.000000,bottom
"R38","100R","RES_100R_R0805",46.355000,30.480000,90.000000,bottom
"R41","100R","RES_100R_R0805",56.134000,49.403000,180.000000,bottom
"R42","100R","RES_100R_R0805",52.213000,54.356000,0.000000,bottom
"R43","2.2K","RES_2.2K_0805",46.355000,49.022000,180.000000,bottom
"SW1","JS202011JAQN Slide Switch DPDT Surface Mount, Right Angle","JS202011JAQN",49.911000,1.364000,0.000000,bottom
"SW_1","KMR211GLFS","PushButton_KMR211_G_LFS_CNK",21.538337,57.125167,180.000000,bottom
"SW_2","KMR211GLFS","PushButton_KMR211_G_LFS_CNK",21.538337,51.689567,180.000000,bottom
"SW_3","KMR211GLFS","PushButton_KMR211_G_LFS_CNK",29.630881,57.125139,180.000000,bottom
"SW_4","KMR211GLFS","PushButton_KMR211_G_LFS_CNK",29.631929,51.689558,180.000000,bottom
"SW_5","KMR211GLFS","PushButton_KMR211_G_LFS_CNK",37.724736,46.253965,180.000000,bottom
"SW_6","KMR211GLFS","PushButton_KMR211_G_LFS_CNK",21.538337,46.253967,180.000000,bottom
"SW_7","KMR211GLFS","PushButton_KMR211_G_LFS_CNK",29.631537,46.254013,180.000000,bottom
"SW_8","KMR211GLFS","PushButton_KMR211_G_LFS_CNK",37.723397,57.125167,180.000000,bottom
"SW_9","KMR211GLFS","PushButton_KMR211_G_LFS_CNK",37.723735,51.689567,180.000000,bottom
"T1","MMUN2133LT1G","MMUN2133LT1G_SC59-BEC",44.323000,11.176000,-90.000000,bottom
"TP4","+3v3(TP)","TestPoint_PAD.03X.05",52.781200,24.841200,180.000000,bottom
"TP5","GND(TP)","TestPoint_PAD.03X.05",6.824546,67.170759,180.000000,bottom
"TP6","SIG(TP)","TestPoint_PAD.03X.05",51.612800,48.107600,180.000000,bottom
"TP7","+3V3","TestPoint_PAD.03X.05",59.817000,48.514000,180.000000,bottom
"U1","TPS61090RSAR","TPS61090RSAR_PVQFN-16",55.558000,16.551000,180.000000,bottom
"U2","MCP73871","MCP73871_QFN20_4MM",39.370000,15.621000,0.000000,bottom
"U3","W25Q128JVSIQ","W25Q128JVSIQ",19.932650,34.163000,180.000000,bottom
"U4","S25FL512SAGMFIR13_512MBIT","SO3016_SPA-M",8.248650,34.163000,0.000000,bottom
"U6","SGTL5000XNBA3R2","QFN50P500X500X90-33N",38.036424,34.541986,0.000000,bottom
"U7","PAM8302AASCR","MSOP8_0.65MM",55.967000,53.444000,180.000000,bottom
"VR1","10K_TC42_Trimpot","TRIMPOT_BOURNS_TC42_2mm_SMD",51.832730,45.553710,90.000000,bottom
