Ref,Val,Package,PosX,PosY,Rot,Side
"C7","100 nF","C_100nF_0805",22.851946,15.315759,90.000000,top
"C8","100 nF","C_100nF_0805",25.493546,15.315759,90.000000,top
"C9","2.2 uF","C_2.2uF_0805-NO",41.521212,36.576000,-90.000000,top
"C10","0.1 uF","C_0.1uF_0805_10MGAP",44.315212,36.703000,-90.000000,top
"C11","0.1 uF","C_0.1uF_0805_10MGAP",46.228000,36.703000,-90.000000,top
"C12","2.2 uF","C_2.2uF_0805-NO",39.108212,30.236993,0.000000,top
"C17","2.2 uF","C_2.2uF_0805-NO",29.837212,32.649993,-90.000000,top
"C18","0.1 uF","C_0.1uF_0805_10MGAP",27.559000,32.615993,-90.000000,top
"D2","ORANGE","CHIPLED_0805_NOOUTLINE",59.817000,17.052000,180.000000,top
"D3","GREEN","CHIPLED_0805_NOOUTLINE",59.817000,20.828000,0.000000,top
"J2","T4.1","Teensy4.1_Colby(Footprint)",59.654424,42.071986,-90.000000,top
"L2","600 OHM, MPZ2012S601AT000","IND_2012_TDK-L",29.837212,36.091793,90.000000,top
"R14","10K","RES_10K_R0805",7.096000,60.833000,180.000000,top
"R15","10K","RES_10K_R0805",21.378746,59.830159,90.000000,top
"R16","10K","RES_10K_R0805",21.411548,54.424959,90.000000,top
"R17","10K","RES_10K_R0805",29.571293,59.843992,90.000000,top
"R19","10K","RES_10K_R0805",29.354346,54.445359,90.000000,top
"R20","10K","RES_10K_R0805",37.533146,48.958959,90.000000,top
"R21","10K","RES_10K_R0805",21.674146,10.163759,90.000000,top
"R22","10K","RES_10K_R0805",21.411548,49.212959,90.000000,top
"R23","10K","RES_10K_R0805",7.112000,50.038000,180.000000,top
"R24","10K","RES_10K_R0805",29.303546,48.875158,90.000000,top
"R25","10K","RES_10K_R0805",37.607606,59.898560,90.000000,top
"R26","10K","RES_10K_R0805",37.583946,54.292959,90.000000,top
"R27","10K","RES_10K_R0805",29.188346,20.917359,90.000000,top
"R28","10K","RES_10K_R0805",18.381546,20.917359,90.000000,top
"R29","10K","RES_10K_R0805",7.239000,7.620000,180.000000,top
"R31","2.2K","RES_2.2K_0805",15.265400,2.235200,90.000000,top
"R32","2.2K","RES_2.2K_0805",19.075400,2.294600,90.000000,top
"R33","2.2K","RES_2.2K_0805",22.882765,2.299716,90.000000,top
"R34","2.2K","RES_2.2K_0805",26.670000,2.269200,90.000000,top
"R35","2.2K","RES_2.2K_0805",30.530800,2.254000,90.000000,top
"R36","2.2K","RES_2.2K_0805",34.391600,2.032000,90.000000,top
"R37","10K","RES_10K_R0805",7.239000,18.669000,180.000000,top
"R39","2.2K","RES_2.2K_0805",39.362212,23.439993,-90.000000,top
"R40","2.2K","RES_2.2K_0805",42.029212,23.439993,-90.000000,top
"SPKR1","~","AdafruitStemmaSpeaker_3923",42.926000,67.056000,0.000000,top
"TP2","VPCC(TP)","TestPoint_PAD.03X.05",34.899600,13.055600,0.000000,top
"U5","AP7313-18SAG-7","AP7313-18SAG-7",41.532685,31.945171,180.000000,top
